I,token_tome,token_chv_esq,token_chv_dir,token_ingredients,token_id,token_endline,token_atr,token_for ,token_par_esq,token_par_dir,token_summon,token_echo,token_if,token_while,token_int,token_float,token_string,token_col_esq,token_col_dir,token_and,token_or,token_not,token_le,token_gr,token_eq,token_add,token_sub,token_mul,token_div,token_type_int,token_type_float,token_type_string,gtoken_end,BAR,gtoken_program,gtoken_cmd_init,gtoken_declare_sq,gtoken_cmd_sq,gtoken_operation,gtoken_assign_sq,gtoken_for_sq,gtoken_summon_sq,gtoken_echo_sq,gtoken_control,gtoken_control_struc,gtoken_block,gtoken_expression,gtoken_logic,gtoken_bool_op,gtoken_relacional,gtoken_relacional_op,gtoken_expr,gtoken_term,gtoken_factor,gtoken_id,gtoken_op_logic,gtoken_op_rel,gtoken_op_art_pr,gtoken_op_art_sc,gtoken_value,gtoken_type,BAR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,S48,,,,S109,,,,,,S50,S51,S52,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,63,53,,,,,46,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,R36,R36,,,R36,,,,,,,,,,R36,R36,,R36,R36,R36,R36,R36,R36,R36,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,R30,,,,R30,,,,,,,,,,R30,R30,,R30,R30,R30,R30,R30,S42,S44,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,47,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,R47,,,,R47,,,,,,,,,,R47,R47,,R47,R47,R47,R47,R47,R47,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,R48,,,,R48,,,,,,,,,,R48,R48,,R48,R48,R48,R48,R48,R48,R48,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,R49,,,,R49,,,,,,,,,,R49,R49,,R49,R49,R49,R49,R49,R49,R49,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,R35,,,,R35,,,,,,,,,,R35,R35,,R35,R35,R35,R35,R35,R35,R35,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,S48,,,,S109,,,,,,S50,S51,S52,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,55,49,45,53,,,,,46,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,S56,,,,,,,S59,S60,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,61,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,R37,R37,,,R37,,,,,,,,,,R37,R37,,R37,R37,R37,R37,R37,R37,R37,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
